Latitude,Longitude,Chapter,Description,Media Link,artist,categories
47.6554392504941,-122.305076607041,"Raven's Journey","This sculpture was created by Marvin Oliver especially to honor and inspire students at the University of Washington.",media/ravensJourney.jpg,Marvin Oliver,raven
47.5611982864887,-122.351925622796,"Duwamish Longhouse Floor","Basket maker Mary Lou Slaughter created the design for this floor at the request of the architect of the Duwamish Longhouse.",media/duwamishLonghouseFloor.jpg,Mary Lou Slaughter,basketry
47.5605201754291,-122.287287083359,"Spirit of Washington","This orca dorsal fin, created by Marvin Oliver",media/orcaDorsalFin.jpg,Marvin Oliver,orca
